2025-07-23 13:26:34.243 INFO [common.LoggingManager initialize] Logging system initialized
2025-07-23 13:26:34.278 INFO [client.ClientUI main] Starting Secure File Transfer Client application
2025-07-23 13:26:34.677 INFO [client.ClientUI lambda$main$25] Client UI initialized and displayed
2025-07-23 13:27:50.619 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 133 of size 4096
2025-07-23 13:27:50.619 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 134 of size 4096
2025-07-23 13:27:50.619 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 135 of size 4096
2025-07-23 13:27:50.619 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 136 of size 4096
2025-07-23 13:27:50.619 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 137 of size 4096
2025-07-23 13:27:50.620 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 138 of size 4096
2025-07-23 13:27:50.620 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 139 of size 4096
2025-07-23 13:27:50.620 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 140 of size 4096
2025-07-23 13:27:50.620 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 141 of size 4096
2025-07-23 13:27:50.620 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 142 of size 4096
2025-07-23 13:27:50.621 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 143 of size 4096
2025-07-23 13:27:50.621 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 144 of size 4096
2025-07-23 13:27:50.621 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 145 of size 4096
2025-07-23 13:27:50.621 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 146 of size 4096
2025-07-23 13:27:50.621 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 147 of size 4096
2025-07-23 13:27:50.622 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 148 of size 4096
2025-07-23 13:27:50.622 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 149 of size 4096
2025-07-23 13:27:50.622 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 150 of size 4096
2025-07-23 13:27:50.622 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 151 of size 4096
2025-07-23 13:27:50.623 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 152 of size 4096
2025-07-23 13:27:50.623 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 153 of size 4096
2025-07-23 13:27:50.623 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 154 of size 4096
2025-07-23 13:27:50.623 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 155 of size 4096
2025-07-23 13:27:50.623 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 156 of size 4096
2025-07-23 13:27:50.624 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 157 of size 4096
2025-07-23 13:27:50.624 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 158 of size 4096
2025-07-23 13:27:50.624 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 159 of size 4096
2025-07-23 13:27:50.624 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 160 of size 4096
2025-07-23 13:27:50.624 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 161 of size 4096
2025-07-23 13:27:50.625 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 162 of size 4096
2025-07-23 13:27:50.625 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 163 of size 4096
2025-07-23 13:27:50.625 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 164 of size 4096
2025-07-23 13:27:50.625 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 165 of size 4096
2025-07-23 13:27:50.625 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 166 of size 4096
2025-07-23 13:27:50.626 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 167 of size 4096
2025-07-23 13:27:50.626 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 168 of size 4096
2025-07-23 13:27:50.626 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 169 of size 4096
2025-07-23 13:27:50.626 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 170 of size 4096
2025-07-23 13:27:50.626 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 171 of size 4096
2025-07-23 13:27:50.627 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 172 of size 4096
2025-07-23 13:27:50.627 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 173 of size 4096
2025-07-23 13:27:50.627 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 174 of size 4096
2025-07-23 13:27:50.627 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 175 of size 4096
2025-07-23 13:27:50.627 FINE [common.LoggingManager logCrypto] [CRYPTO] Chunk encryption: Encrypting chunk 176 of size 4096
